date,beer,cars,steel,gas,electricity,temp
1967-07-01,95.0,26474.0,531.9,3608.0,4191.0,17.2
1967-08-01,116.0,28043.0,546.5,3524.0,4213.0,17.4
1967-09-01,113.9,24805.0,547.4,3018.0,3766.0,19.6
1967-10-01,127.5,30010.0,536.1,2648.0,3628.0,21.5
1967-11-01,131.4,30928.0,482.8,2363.0,3520.0,24.2
1967-12-01,145.9,19243.0,551.0,2247.0,3322.0,24.2
1968-01-01,131.5,13441.0,532.9,1994.0,3250.0,25.6
1968-02-01,131.0,33235.0,484.1,1941.0,3287.0,26.9
1968-03-01,130.5,35461.0,554.8,2258.0,3552.0,26.7
1968-04-01,118.9,30314.0,537.0,2332.0,3440.0,25.3
1968-05-01,114.3,32206.0,558.0,3323.0,4153.0,19.8
1968-06-01,85.7,25919.0,511.4,3608.0,4265.0,16.9
1968-07-01,104.6,31192.0,502.9,3957.0,4655.0,16.2
1968-08-01,105.1,30453.0,558.6,3672.0,4492.0,18.8
1968-09-01,117.3,29930.0,545.1,3155.0,4051.0,20.5
1968-10-01,142.5,32430.0,574.3,2933.0,3967.0,24.2
1968-11-01,140.0,29304.0,542.2,2585.0,3807.0,26.0
1968-12-01,159.8,21175.0,600.0,2384.0,3639.0,23.7
1969-01-01,131.2,14998.0,588.6,2057.0,3647.0,27.4
1969-02-01,125.4,27222.0,524.4,2100.0,3560.0,25.5
1969-03-01,126.5,31062.0,618.5,2458.0,3929.0,25.3
1969-04-01,119.4,29498.0,580.9,2638.0,3858.0,24.4
1969-05-01,113.5,33186.0,557.2,3292.0,4485.0,19.7
1969-06-01,98.7,31405.0,571.2,3724.0,4697.0,17.4
1969-07-01,114.5,36537.0,597.5,4652.0,4977.0,18.0
1969-08-01,113.8,34714.0,601.7,4379.0,4675.0,19.1
1969-09-01,133.1,36861.0,558.9,4231.0,4596.0,18.3
1969-10-01,143.4,38137.0,600.9,3756.0,4491.0,20.8
1969-11-01,137.3,28926.0,601.0,3429.0,4127.0,22.9
1969-12-01,165.2,28590.0,615.7,3461.0,4144.0,26.3
1970-01-01,126.9,16199.0,578.1,3345.0,4014.0,26.3
1970-02-01,124.0,35081.0,495.9,4220.0,3994.0,26.3
1970-03-01,135.7,33993.0,526.8,4874.0,4320.0,24.7
1970-04-01,130.0,36715.0,522.1,5064.0,4400.0,23.6
1970-05-01,109.4,34743.0,605.1,5951.0,5002.0,18.5
1970-06-01,117.8,33635.0,574.4,6774.0,5091.0,18.1
1970-07-01,120.3,36441.0,609.7,7997.0,5471.0,18.1
1970-08-01,121.0,31749.0,580.7,7523.0,5193.0,17.9
1970-09-01,132.3,34085.0,565.1,7438.0,4997.0,18.6
1970-10-01,142.9,34176.0,590.7,6879.0,4737.0,23.5
1970-11-01,147.4,35892.0,571.5,6489.0,4546.0,22.3
1970-12-01,175.9,29240.0,601.3,6288.0,4498.0,25.8
1971-01-01,132.6,13926.0,567.3,5919.0,4350.0,25.2
1971-02-01,123.7,31083.0,467.9,6183.0,4206.0,26.4
1971-03-01,153.3,34678.0,588.9,6594.0,4743.0,25.2
1971-04-01,134.0,31040.0,579.4,6489.0,4582.0,23.4
1971-05-01,119.6,32569.0,502.6,8040.0,5191.0,20.1
1971-06-01,116.2,29654.0,568.7,9715.0,5457.0,17.1
1971-07-01,118.6,35592.0,616.0,9714.0,5891.0,15.9
1971-08-01,130.7,39652.0,586.2,9756.0,5618.0,18.3
1971-09-01,129.3,39674.0,575.5,8595.0,5158.0,20.5
1971-10-01,144.4,37991.0,599.9,7861.0,5030.0,24.2
1971-11-01,163.2,38817.0,568.2,7753.0,4800.0,22.2
1971-12-01,179.4,26566.0,516.0,8154.0,4654.0,24.4
1972-01-01,128.1,11239.0,493.4,7778.0,4453.0,24.5
1972-02-01,138.4,20202.0,496.8,7402.0,4440.0,25.7
1972-03-01,152.7,33683.0,529.9,8903.0,4945.0,24.1
1972-04-01,120.0,30653.0,491.7,9742.0,4788.0,22.5
1972-05-01,140.5,37288.0,543.2,11372.0,5425.0,19.1
1972-06-01,116.2,36104.0,490.8,12741.0,5706.0,17.6
1972-07-01,121.4,33151.0,554.7,13733.0,6061.0,17.5
1972-08-01,127.8,36336.0,625.7,13691.0,5846.0,18.8
1972-09-01,,31696.0,605.0,12239.0,5242.0,21.5
1972-10-01,,35065.0,645.2,12502.0,5408.0,20.9
1972-11-01,,33313.0,645.2,11241.0,5114.0,23.0
1972-12-01,,27114.0,611.8,10829.0,5042.0,27.2
1973-01-01,,16503.0,600.3,11569.0,5008.0,26.7
1973-02-01,,31871.0,549.8,10397.0,4657.0,26.3
1973-03-01,,36661.0,635.5,12493.0,5359.0,25.3
1973-04-01,,29520.0,617.7,11962.0,5193.0,24.3
1973-05-01,,34157.0,643.5,13974.0,5891.0,21.6
1973-06-01,,27015.0,485.7,14945.0,5980.0,17.3
1973-07-01,,31567.0,689.5,16805.0,6390.0,18.0
1973-08-01,,40177.0,692.0,16587.0,6366.0,18.1
1973-09-01,,35742.0,677.3,14225.0,5756.0,21.6
1973-10-01,,37479.0,704.7,14157.0,5640.0,22.5
1973-11-01,,31978.0,668.6,13016.0,5429.0,24.5
1973-12-01,,28722.0,717.8,12253.0,5398.0,25.9
1974-01-01,,12965.0,689.8,11704.0,5413.0,25.5
1974-02-01,,33563.0,640.4,12275.0,5141.0,25.6
1974-03-01,,36023.0,675.2,13695.0,5695.0,25.2
1974-04-01,,33655.0,528.1,14082.0,5554.0,23.4
1974-05-01,,37889.0,538.0,16555.0,6369.0,20.2
1974-06-01,,35260.0,527.2,17339.0,6592.0,17.4
1974-07-01,,38718.0,655.6,17777.0,7107.0,17.5
1974-08-01,,35226.0,650.6,17592.0,6917.0,17.6
1974-09-01,,36954.0,623.7,16194.0,6353.0,19.4
1974-10-01,,36332.0,748.4,15336.0,6205.0,20.9
1974-11-01,,30602.0,727.4,14208.0,5830.0,22.1
1974-12-01,,23016.0,750.5,13116.0,5646.0,25.3
1975-01-01,,10704.0,678.9,12354.0,5379.0,26.2
1975-02-01,,27891.0,659.5,12682.0,5489.0,25.9
1975-03-01,168.8,26589.0,691.9,14141.0,5824.0,25.5
1975-04-01,158.1,29007.0,639.8,14989.0,5907.0,22.1
1975-05-01,158.5,34787.0,663.8,16159.0,6482.0,21.0
1975-06-01,135.3,31563.0,572.9,18276.0,6795.0,17.7
1975-07-01,149.3,33175.0,592.5,19157.0,7028.0,19.0
1975-08-01,143.4,31008.0,734.8,18737.0,6776.0,18.2
1975-09-01,142.2,34097.0,696.1,17109.0,6274.0,20.7
1975-10-01,188.4,35598.0,589.2,17094.0,6362.0,22.0
1975-11-01,166.2,28769.0,662.9,15418.0,5940.0,25.0
1975-12-01,199.2,27779.0,661.2,14312.0,5958.0,26.2
1976-01-01,182.7,10284.0,672.1,13260.0,5769.0,25.0
1976-02-01,145.2,31740.0,583.7,14990.0,5887.0,26.0
1976-03-01,182.1,35850.0,705.5,15975.0,6367.0,25.2
1976-04-01,158.7,29464.0,631.0,16770.0,6165.0,23.2
1976-05-01,141.6,35950.0,733.3,19819.0,6868.0,21.3
1976-06-01,132.6,34625.0,674.9,20983.0,7201.0,18.4
1976-07-01,139.6,32752.0,695.5,22001.0,7601.0,17.4
1976-08-01,147.0,32645.0,634.1,22337.0,7581.0,18.3
1976-09-01,166.6,39380.0,630.6,20750.0,7090.0,19.0
1976-10-01,157.0,35709.0,635.2,19969.0,6841.0,20.7
1976-11-01,180.4,38089.0,554.1,17293.0,6408.0,23.3
1976-12-01,210.2,28543.0,623.9,16498.0,6435.0,27.7
1977-01-01,159.8,8100.0,679.3,15117.0,6176.0,27.2
1977-02-01,157.8,29545.0,565.6,16058.0,6138.0,26.2
1977-03-01,168.2,33671.0,564.1,18137.0,6717.0,26.2
1977-04-01,158.4,26963.0,637.2,18471.0,6470.0,24.2
1977-05-01,152.0,33047.0,650.8,21398.0,7312.0,20.2
1977-06-01,142.2,28828.0,602.7,23854.0,7763.0,17.1
1977-07-01,137.2,27306.0,587.5,26025.0,8171.0,16.9
1977-08-01,152.6,29387.0,619.2,25479.0,7788.0,19.6
1977-09-01,166.8,28764.0,616.5,22804.0,7311.0,18.8
1977-10-01,165.6,13744.0,637.9,19619.0,6679.0,24.2
1977-11-01,198.6,33166.0,557.9,19627.0,6704.0,24.4
1977-12-01,201.5,23874.0,594.0,18488.0,6724.0,27.1
1978-01-01,170.7,10892.0,668.7,17243.0,6552.0,26.2
1978-02-01,164.4,28540.0,603.3,18284.0,6427.0,28.4
1978-03-01,179.7,31090.0,674.5,20226.0,7105.0,25.7
1978-04-01,157.0,27450.0,573.4,20903.0,6869.0,22.9
1978-05-01,168.0,32522.0,706.0,23768.0,7683.0,20.7
1978-06-01,139.3,28657.0,693.7,26323.0,8082.0,16.7
1978-07-01,138.6,31845.0,627.5,28038.0,8555.0,16.6
1978-08-01,153.4,25093.0,550.7,26776.0,8386.0,17.1
1978-09-01,138.9,31514.0,592.3,22886.0,7553.0,18.9
1978-10-01,172.1,34693.0,660.2,22813.0,7398.0,21.5
1978-11-01,198.4,36431.0,597.3,22404.0,7112.0,22.8
1978-12-01,217.8,27762.0,641.0,19795.0,6886.0,23.9
1979-01-01,173.7,10545.0,663.6,18839.0,7077.0,26.9
1979-02-01,153.8,32313.0,595.9,18892.0,6820.0,27.2
1979-03-01,175.6,36743.0,638.4,20823.0,7426.0,24.9
1979-04-01,147.1,26972.0,665.4,22212.0,7143.0,22.9
1979-05-01,160.3,43134.0,671.4,25076.0,8261.0,18.9
1979-06-01,135.2,38029.0,637.0,26884.0,8240.0,18.4
1979-07-01,148.8,37981.0,685.7,30611.0,8977.0,17.5
1979-08-01,151.0,40268.0,705.8,30228.0,8991.0,18.0
1979-09-01,148.2,35586.0,704.8,26762.0,8026.0,19.9
1979-10-01,182.2,38296.0,734.4,25885.0,7911.0,22.0
1979-11-01,189.2,37737.0,674.2,23328.0,7510.0,24.1
1979-12-01,183.1,25584.0,748.6,21930.0,7381.0,27.9
1980-01-01,170.0,9305.0,763.4,21433.0,7366.0,26.9
1980-02-01,158.4,30470.0,658.0,22369.0,7414.0,26.9
1980-03-01,176.1,28923.0,627.5,24503.0,7824.0,26.3
1980-04-01,156.2,22534.0,528.9,25905.0,7524.0,23.8
1980-05-01,153.2,30937.0,488.3,30605.0,8279.0,20.7
1980-06-01,117.9,25711.0,575.5,34984.0,8707.0,17.9
1980-07-01,149.8,31002.0,735.6,37060.0,9486.0,16.7
1980-08-01,156.6,25877.0,685.3,34502.0,8973.0,20.2
1980-09-01,166.7,29124.0,613.6,31793.0,8231.0,23.3
1980-10-01,156.8,30547.0,629.5,29275.0,8206.0,22.4
1980-11-01,158.6,28683.0,634.7,28305.0,7927.0,25.1
1980-12-01,210.8,24935.0,652.6,25248.0,7999.0,26.3
1981-01-01,203.6,10951.0,728.3,27730.0,7834.0,26.3
1981-02-01,175.2,28835.0,634.3,27424.0,7521.0,26.0
1981-03-01,168.7,28764.0,690.7,32684.0,8284.0,25.3
1981-04-01,155.9,25863.0,676.3,31366.0,7999.0,24.0
1981-05-01,147.3,32391.0,675.4,37459.0,8940.0,20.1
1981-06-01,137.0,32131.0,595.6,41060.0,9381.0,17.2
1981-07-01,141.1,34359.0,712.4,43558.0,10078.0,17.0
1981-08-01,167.4,33641.0,735.8,42398.0,9796.0,17.6
1981-09-01,160.2,32368.0,544.4,33827.0,8471.0,22.1
1981-10-01,191.9,28172.0,567.0,34962.0,8572.0,22.6
1981-11-01,174.4,36915.0,510.0,33480.0,8150.0,22.1
1981-12-01,208.2,33994.0,564.0,32445.0,8168.0,25.4
1982-01-01,159.4,10980.0,630.7,30715.0,8166.0,26.4
1982-02-01,161.1,30891.0,496.7,30400.0,7903.0,26.7
1982-03-01,172.1,39417.0,660.9,31451.0,8606.0,24.7
1982-04-01,158.4,29767.0,601.2,31306.0,8071.0,23.2
1982-05-01,114.6,35858.0,655.2,40592.0,9178.0,21.5
1982-06-01,159.6,37866.0,591.6,44133.0,9873.0,16.7
1982-07-01,159.7,38794.0,606.1,47387.0,10476.0,15.8
1982-08-01,159.4,38836.0,560.7,41310.0,9296.0,20.0
1982-09-01,160.7,34065.0,368.3,37913.0,8818.0,20.0
1982-10-01,165.5,30978.0,371.6,34355.0,8697.0,21.3
1982-11-01,205.0,28700.0,413.9,34607.0,8381.0,24.8
1982-12-01,205.2,22826.0,413.9,28729.0,8293.0,25.2
1983-01-01,141.6,3824.0,389.0,26138.0,7942.0,26.6
1983-02-01,148.1,29054.0,399.2,30745.0,8001.0,27.7
1983-03-01,184.9,29359.0,429.8,35018.0,8744.0,26.6
1983-04-01,132.5,23272.0,395.6,34549.0,8397.0,21.1
1983-05-01,137.3,27599.0,472.0,40980.0,9115.0,20.5
1983-06-01,135.5,27378.0,486.0,42869.0,9773.0,16.9
1983-07-01,121.7,29487.0,525.0,45022.0,10358.0,16.7
1983-08-01,166.1,31917.0,396.0,40387.0,9849.0,18.1
1983-09-01,146.8,30937.0,511.0,38180.0,9083.0,21.8
1983-10-01,162.8,28290.0,525.0,38608.0,9143.0,21.3
1983-11-01,186.8,32333.0,492.0,35308.0,8800.0,23.7
1983-12-01,185.5,23789.0,517.0,30234.0,8741.0,25.0
1984-01-01,151.5,11410.0,525.0,28801.0,8492.0,25.6
1984-02-01,158.1,28432.0,474.0,33034.0,8795.0,26.8
1984-03-01,143.0,35260.0,539.0,35294.0,9354.0,24.0
1984-04-01,151.2,24786.0,468.0,33181.0,8796.0,22.8
1984-05-01,147.6,36765.0,543.0,40797.0,10072.0,19.9
1984-06-01,130.7,28910.0,532.0,42355.0,10174.0,18.3
1984-07-01,137.5,34863.0,565.0,46098.0,11326.0,16.1
1984-08-01,146.1,37495.0,535.0,42430.0,10744.0,18.9
1984-09-01,133.6,34093.0,534.0,41851.0,9806.0,19.7
1984-10-01,167.9,35150.0,546.0,39331.0,9740.0,22.0
1984-11-01,181.9,35702.0,494.0,37328.0,9373.0,24.6
1984-12-01,202.0,27527.0,552.0,34514.0,9244.0,25.3
1985-01-01,166.5,10619.0,511.0,32494.0,9407.0,26.8
1985-02-01,151.3,29035.0,451.0,33308.0,8827.0,24.4
1985-03-01,146.2,32961.0,537.0,36805.0,9880.0,25.6
1985-04-01,148.3,27045.0,494.0,34221.0,9364.0,22.5
1985-05-01,144.7,36310.0,549.0,41020.0,10580.0,19.9
1985-06-01,123.6,35012.0,544.0,44350.0,10899.0,17.7
1985-07-01,151.6,41778.0,598.0,46173.0,11687.0,17.0
1985-08-01,133.9,39642.0,583.0,44435.0,11280.0,17.7
1985-09-01,137.4,35529.0,582.0,40943.0,10208.0,19.7
1985-10-01,181.6,39332.0,589.0,39269.0,10212.0,21.6
1985-11-01,182.0,32667.0,578.0,35901.0,9725.0,23.5
1985-12-01,190.0,23833.0,561.0,32142.0,9721.0,27.4
1986-01-01,161.2,11861.0,592.0,31239.0,9846.0,25.9
1986-02-01,155.5,27545.0,504.0,32261.0,9407.0,26.2
1986-03-01,141.9,28654.0,545.0,34951.0,10265.0,25.5
1986-04-01,164.6,23425.0,547.0,38109.0,9970.0,24.8
1986-05-01,136.2,31149.0,585.0,43168.0,10801.0,20.8
1986-06-01,126.8,29349.0,562.0,45547.0,11246.0,18.0
1986-07-01,152.5,32447.0,520.0,49568.0,12167.0,17.3
1986-08-01,126.6,27964.0,581.0,45387.0,11578.0,17.9
1986-09-01,150.1,27242.0,590.0,41805.0,10645.0,20.9
1986-10-01,186.3,27754.0,562.0,41281.0,10613.0,22.4
1986-11-01,147.5,27760.0,548.0,36068.0,10104.0,21.8
1986-12-01,200.4,22540.0,567.0,34879.0,10348.0,24.7
1987-01-01,177.2,6509.0,542.0,32791.0,10263.0,27.0
1987-02-01,127.4,25787.0,473.0,34206.0,9973.0,26.9
1987-03-01,177.1,25270.0,531.0,39128.0,10803.0,24.2
1987-04-01,154.4,24136.0,462.0,40249.0,10409.0,22.9
1987-05-01,135.2,29324.0,479.0,43519.0,11458.0,20.5
1987-06-01,126.4,25324.0,533.0,46137.0,11845.0,18.2
1987-07-01,147.3,31107.0,552.0,56709.0,12559.0,16.9
1987-08-01,140.6,28441.0,547.0,52306.0,12070.0,18.7
1987-09-01,152.3,29368.0,562.0,49397.0,11221.0,21.4
1987-10-01,151.2,29753.0,524.0,45500.0,11338.0,21.4
1987-11-01,172.2,29766.0,479.0,39857.0,10761.0,24.6
1987-12-01,215.3,25143.0,445.0,37958.0,11012.0,24.3
1988-01-01,154.1,6924.0,406.0,35567.0,10923.0,26.8
1988-02-01,159.3,25208.0,475.0,37696.0,10790.0,25.7
1988-03-01,160.4,31310.0,589.0,42319.0,11427.0,25.0
1988-04-01,151.9,21004.0,495.0,39137.0,10788.0,22.5
1988-05-01,148.4,28488.0,484.0,47062.0,11772.0,20.9
1988-06-01,139.6,28281.0,536.0,50610.0,12104.0,18.5
1988-07-01,148.2,25982.0,555.0,54457.0,12634.0,18.7
1988-08-01,153.5,31366.0,565.0,54435.0,12772.0,19.3
1988-09-01,145.1,30754.0,564.0,48516.0,11764.0,21.8
1988-10-01,183.7,30073.0,573.0,43225.0,11956.0,26.2
1988-11-01,210.5,34085.0,569.0,42155.0,11646.0,23.4
1988-12-01,203.3,23814.0,588.0,39995.0,11750.0,25.4
1989-01-01,153.3,7948.0,546.0,37541.0,11485.0,25.4
1989-02-01,144.3,27228.0,508.0,37277.0,11198.0,26.3
1989-03-01,169.6,26614.0,560.0,41778.0,12265.0,25.2
1989-04-01,143.7,27316.0,558.0,41666.0,11704.0,23.1
1989-05-01,160.1,33016.0,516.0,49616.0,12419.0,20.5
1989-06-01,135.6,34944.0,549.0,57793.0,13259.0,16.7
1989-07-01,141.8,32648.0,595.0,61884.0,13945.0,16.3
1989-08-01,159.9,36304.0,586.0,62400.0,13839.0,17.3
1989-09-01,145.7,35466.0,597.0,50820.0,12387.0,20.9
1989-10-01,183.5,35087.0,592.0,51116.0,12546.0,24.2
1989-11-01,198.2,36145.0,538.0,45731.0,12038.0,23.6
1989-12-01,186.8,24188.0,590.0,42528.0,11977.0,25.3
1990-01-01,172.0,12666.0,576.0,40459.0,12336.0,25.5
1990-02-01,150.6,32639.0,451.0,40295.0,11793.0,25.4
1990-03-01,163.3,36836.0,538.0,44147.0,12877.0,25.3
1990-04-01,153.7,30062.0,555.0,42697.0,11923.0,23.1
1990-05-01,152.9,40064.0,532.0,52561.0,13306.0,21.3
1990-06-01,135.5,33938.0,530.0,56572.0,13988.0,17.4
1990-07-01,148.5,37135.0,553.0,56858.0,14002.0,17.3
1990-08-01,148.4,35167.0,626.0,58363.0,14336.0,17.5
1990-09-01,133.6,23985.0,601.0,45627.0,12867.0,19.4
1990-10-01,194.1,30063.0,573.0,45622.0,12721.0,21.9
1990-11-01,208.6,28225.0,569.0,41304.0,12449.0,24.5
1990-12-01,197.3,20138.0,562.0,36016.0,12686.0,28.6
1991-01-01,164.4,11963.0,468.0,35592.0,12810.0,29.1
1991-02-01,148.1,25019.0,483.0,35677.0,12015.0,28.2
1991-03-01,152.0,22129.0,460.0,39864.0,12888.0,25.6
1991-04-01,144.1,21881.0,411.0,41761.0,12431.0,23.1
1991-05-01,155.0,30241.0,458.0,50380.0,13499.0,20.0
1991-06-01,124.5,24715.0,455.0,49129.0,13014.0,19.5
1991-07-01,153.0,26661.0,600.0,55066.0,14296.0,17.0
1991-08-01,146.0,27651.0,605.0,55671.0,14125.0,18.8
1991-09-01,138.0,22303.0,545.0,49058.0,12817.0,21.5
1991-10-01,190.0,25989.0,549.0,44503.0,12862.0,23.7
1991-11-01,192.0,23870.0,415.0,42145.0,12449.0,23.4
1991-12-01,192.0,16001.0,568.0,38698.0,12489.0,24.2
1992-01-01,147.0,11055.0,577.0,38963.0,12621.0,25.3
1992-02-01,133.0,21181.0,517.0,38690.0,12380.0,25.0
1992-03-01,163.0,25467.0,558.0,39792.0,13023.0,25.4
